cours,hight,indice,low,open_,time,var
12.640 ,12.706 ,CREDIT AGRICOLE SA,12.624 ,12.650 ,2023-12-13 14:05:11,-0.14%
179.380 ,179.400 ,AIR LIQUIDE,178.020 ,178.500 ,2023-12-13 14:05:12,+0.61%
142.760 ,143.440 ,AIRBUS,142.440 ,143.000 ,2023-12-13 14:05:12,+0.06%
10.955 ,11.185 ,ALSTOM,10.915 ,11.020 ,2023-12-13 14:05:12,-1.13%
156.300 ,156.650 ,PERNOD RICARD,154.800 ,155.700 ,2023-12-13 14:05:12,+0.22%
59.470 ,59.650 ,DANONE,59.290 ,59.600 ,2023-12-13 14:05:12,-0.13%
60.710 ,60.930 ,BNP PARIBAS,60.340 ,60.530 ,2023-12-13 14:05:12,-0.18%
2 034.000 ,2 043.500 ,HERMES INTL,2 006.500 ,2 009.000 ,2023-12-13 14:05:12,+1.22%
16.365 ,16.920 ,CARREFOUR,16.330 ,16.920 ,2023-12-13 14:05:12,-3.93%
37.190 ,37.930 ,RENAULT,37.085 ,37.660 ,2023-12-13 14:05:12,-1.13%
192.900 ,194.200 ,CAPGEMINI,192.850 ,193.400 ,2023-12-13 14:05:12,-0.08%
167.000 ,168.760 ,SAFRAN,166.980 ,168.020 ,2023-12-13 14:05:12,-0.29%
88.010 ,88.570 ,SANOFI,87.730 ,88.040 ,2023-12-13 14:05:12,+0.16%
29.930 ,30.160 ,AXA,29.840 ,30.000 ,2023-12-13 14:05:12,-0.47%
63.490 ,63.780 ,SAINT-GOBAIN,63.280 ,63.390 ,2023-12-13 14:05:12,+0.76%
115.280 ,115.580 ,VINCI,114.800 ,115.100 ,2023-12-13 14:05:12,-0.10%
21.210 ,21.215 ,STELLANTIS,20.930 ,20.945 ,2023-12-13 14:05:12,+1.12%
44.670 ,45.185 ,DASSAULT SYSTEMES,44.600 ,45.000 ,2023-12-13 14:05:12,-0.37%
44.585 ,44.875 ,STMICROELECTRONICS,44.535 ,44.800 ,2023-12-13 14:05:12,+0.10%
53.420 ,53.620 ,EDENRED,53.140 ,53.200 ,2023-12-13 14:05:12,+0.56%
177.080 ,178.220 ,SCHNEIDER ELECTRIC,177.000 ,177.720 ,2023-12-13 14:05:12,+0.07%
185.700 ,187.200 ,ESSILORLUXOTTICA,183.100 ,183.100 ,2023-12-13 14:05:12,+1.17%
117.350 ,119.150 ,TELEPERFORMANCE,117.200 ,117.400 ,2023-12-13 14:05:12,-0.21%
35.950 ,36.000 ,BOUYGUES,35.780 ,35.960 ,2023-12-13 14:05:12,-0.06%
61.590 ,61.620 ,TOTALENERGIES,61.030 ,61.400 ,2023-12-13 14:05:12,+0.46%
16.114 ,16.162 ,ENGIE,16.024 ,16.062 ,2023-12-13 14:05:12,+0.78%
62.900 ,63.500 ,UNIBAIL-RODAMCO-WESTFIELD,62.720 ,62.720 ,2023-12-13 14:05:12,+0.42%
54.420 ,54.900 ,EUROFINS SCIENTIFIC,54.300 ,54.360 ,2023-12-13 14:05:12,-0.07%
29.350 ,29.470 ,VEOLIA,29.120 ,29.120 ,2023-12-13 14:05:12,+0.62%
23.825 ,24.010 ,SOCIETE GENERALE,23.660 ,23.710 ,2023-12-13 14:05:12,+0.49%
15.260 ,15.575 ,WORLDLINE,15.125 ,15.415 ,2023-12-13 14:05:12,-1.86%
138.600 ,139.100 ,THALES,138.050 ,138.350 ,2023-12-13 14:05:12,+0.84%
408.100 ,413.250 ,KERING,405.300 ,406.400 ,2023-12-13 14:05:12,-0.57%
95.220 ,95.460 ,LEGRAND,95.040 ,95.040 ,2023-12-13 14:05:12,+0.44%
735.100 ,742.200 ,LVMH,720.000 ,720.000 ,2023-12-13 14:05:12,+0.20%
31.920 ,32.020 ,MICHELIN,31.830 ,31.880 ,2023-12-13 14:05:12,+0.13%
447.400 ,449.950 ,L'OREAL,445.650 ,446.050 ,2023-12-13 14:05:12,+0.61%
10.852 ,11.134 ,ORANGE,10.744 ,11.134 ,2023-12-13 14:05:12,-2.76%
82.000 ,82.400 ,PUBLICIS GROUPE,81.620 ,82.300 ,2023-12-13 14:05:12,-0.49%
